,name,price,brand,cate_3,cate_4,review,date,tag
0,생유산균 신바이오틱스 모유프롤린 종근당lgg 락토핏코어 포스트 프로바이오틱스 바이오스틱,15800,킹프리미엄프로바이오틱스,영양제,프로바이오틱스,222960,20190514,"임산부유산균,골드,여성유산균,아기유산균,유아유산균,신생아유산균,피부유산균,질좋은,면역강화,낙산"
1,생유산균 골드 2g x 50포,8690,락토핏,영양제,프로바이오틱스,174413,20171217,
2,조정석 밀크씨슬 5박스 5개월분 GNM자연의품격 간기능,21900,GNM자연의품격,영양제,밀크씨슬,150211,20140604,"간에좋은영양제,밀크씨슬"
3,얼라이브 종합비타민 원스데일리 포맨/우먼/남성/실버/멀티 비타민 미네랄 60정 100정,21500,얼라이브,비타민제,멀티비타민,111158,20160721,"종합비타민제,여성종합비타민,멀티비타민제,종합영양제,남성비타민,30대,피로회복,멀티비타민"
4,"캘리포니아 골드 뉴트리션 California Gold Nutrition 오메가3, 프리미엄 피쉬 오일, 피쉬 젤라틴 소프트젤 240정",16934,,영양제,오메가3,107045,20190809,
5,"캘리포니아 골드 뉴트리션 California Gold Nutrition 오메가3, 프리미엄 피쉬 오일, 피쉬 젤라틴 소프트젤 100정",7902,,영양제,오메가3,107045,20190807,
6,알티지 오메가3 맥스1400 초임계 식물성 온가족 임산부 장용성 epa dha,34000,더리얼,영양제,오메가3,98293,20170428,"크릴오일,EPA,DHA"
7,[쎌티아이 골드] 10세 이상 성인 유산균 장 건강 핵심균주 강화 프로바이오틱스 (2개월),50000,셀티아이,영양제,프로바이오틱스,70337,20190121,"성인유산균,100억유산균,생유산균,유산균영양제,장유산균"
8,더리얼 크릴오일 오메가3 맥스1300 인지질 임산부새우,34000,더리얼,영양제,크릴오일,83158,20190403,"크릴,크릴새우"
9,센트룸 포맨 포우먼 실버/남성/멀티 미네랄 코스트코 종합비타민,24820,센트룸,비타민제,멀티비타민,74927,20170724,"멀티비타민제,남성비타민,몸에좋은영양제,몸에좋은영양소,종합비타민제,종합영양제"
10,"프리미엄 크릴오일 추천, 오메가3 인지질 아스타잔틴, 지방 분해 효과",43000,,영양제,,73378,20210324,
11,"프리미엄 크릴오일 추천, 오메가3 인지질 아스타잔틴, 지방 분해 효과",43000,,영양제,,73378,20210325,
12,종근당 락토핏 코어 프롤린 유산균 6통 12개월 (총360포),98100,락토핏,영양제,프로바이오틱스,69301,20181231,생유산균
13,생유산균 코어 2g x 60포,13600,락토핏,영양제,프로바이오틱스,69083,20180517,
14,[쎌티아이 키즈] 아이를 위한 핵심유산균 100억CFU보장 어린이 유산균 스틱형 (1개월),50000,셀티아이,영양제,프로바이오틱스,56529,20171031,유아유산균
15,설준비 특집! 식품/건강식품 인기상품 모아보기,37110,,영양제,,58776,20210206,
16,"캘리포니아 골드 뉴트리션 California Gold Nutrition LactoBif 프로바이오틱, 50억 CFU, 베지 캡슐 60정",11289,,영양제,프로바이오틱스,54665,20210225,
17,뉴트리코어 유기농 밀크씨슬 실리마린 간에좋은영양제,39000,뉴트리코어,영양제,밀크씨슬,51417,20170615,"간영양제,간에좋은영양제"
18,뉴트리코어 밀크씨슬 1개월분,39000,뉴트리코어,영양제,밀크씨슬,51389,20190808,"간영양제,간에좋은영양제"
19,종근당건강 락토핏 코어 프롤린 생유산균 10개월분 (60포 X 5통),92200,종근당건강,영양제,프로바이오틱스,51260,20210208,유산균
20,풍요로운 추석 맞이 준비! BEST 식품 모음,165540,,영양제,,50438,20190828,
21,[본사직영] 고려은단 비타민C 1000 720정 (24개월분),49900,고려은단,비타민제,비타민C,49847,20150723,"몸에좋은영양제,헬씨,건강기능제품,건강한,선물용으로좋은,건강에좋은음식,몸에좋은영양소,여름,50대,비타민C"
22,대상웰라이프 뉴케어 구수한맛 1박스 완전균형영양식 식사대용 당플랜 당뇨식 하이프로틴 고소한 검은깨 미니 오메가 마이키즈 딸기 액티브 단백질 암환자영양식 등,25900,뉴케어,영양제,환자식/영양보충식,49049,20170217,"환자영양식,균형영양식,구수한맛,노인영양식,영양음료,건강식"
23,[덤.주.쇼] 식품/리빙/생활/주방 BEST TV상품 한자리에!,164840,씨스팡,영양제,기타건강보조식품,48995,20190930,
24,기력 보충 활력템! 김나운더키친/대저토마토/메이준뉴트리 外,21300,김나운더키친,영양제,기타건강보조식품,48552,20200324,
25,유기농 밀크씨슬 1000mg x 30정,33000,뉴트리코어,영양제,밀크씨슬,48437,20170809,
26,입맛도 건강도 모두 챙기자! 건강/일반식품 모음,92070,,영양제,,48204,20210206,
27,맥스 크릴오일 1100mg x 30캡슐,49000,뉴트리코어,영양제,크릴오일,47168,20190610,
28,"맥스 크릴 새우 오일, NCS 인지질 58% 뉴트리코어",49000,뉴트리코어,영양제,크릴오일,46913,20190412,크릴오일
29,봄철 영양 관리 꿀팁! 김나운더키친/이제뷰티/녹십자,42690,김나운더키친,영양제,,46486,20200407,
30,[TV박싱데이] 명절 증후군 극복! BEST 식품 모음,100440,롯데헬스원,영양제,,46173,20210217,
31,NCS 크릴 새우 오일 식물성 알티지(RTG) 오메가3 초임계 추출 인지질 성인 남녀 임산부 뉴트리코어,59000,뉴트리코어,영양제,오메가3,45766,20190315,크릴오일
32,내 몸을 위한 선택! 프로틴/콜라겐/유산균,314340,,영양제,프로바이오틱스,45524,20201208,
33,종근당건강 종근당건강 아이케어 오메가3 로얄 2병,21420,종근당건강,영양제,오메가3,45440,20120106,
34,[내일의딜]1/30(목) 내일 방송 미리 주문 적립 찬스!,138990,프롬바이오,영양제,,44841,20210217,
35,"추운 겨울 입맛, 건강 관리! BEST 식품 총집합!",184140,메이준뉴트리,영양제,,44324,20210304,
36,덴마크 유산균 이야기 170mg x 60캡슐,23220,덴프스,영양제,프로바이오틱스,44277,20180727,
37,[덤.주.쇼] 식품/리빙 BEST TV상품 한자리에!,146240,메이준뉴트리,영양제,프리바이오틱스,44221,20191127,
38,기력 충전 활력템! 김나운더키친/이제뷰티/녹십자 外,21300,김나운더키친,영양제,기타건강보조식품,43609,20200401,
39,[국내판매1위] 락토핏 생유산균 골드 3통+골드30포 외,40900,락토핏,영양제,프로바이오틱스,43538,20160721,
40,기력 충전 활력템! 김나운더키친/이제뷰티/녹십자 外,21300,김나운더키친,영양제,기타건강보조식품,43609,20200401,
41,[국내판매1위] 락토핏 생유산균 골드 3통+골드30포 외,40900,락토핏,영양제,프로바이오틱스,43538,20160721,
42,울트라 플로라 프로바이오틱스 클래식 500mg x 60캡슐,25100,에스더포뮬러,영양제,프로바이오틱스,43306,20111129,
43,영양과 활력 한번에 챙기자! BEST 식품 김나운더키친/녹십자外,31530,김나운더키친,영양제,,43232,20210206,
44,"안국건강 눈에 좋은 루테인 플러스 스페셜선물세트 180캡슐 1박스, 6개월분 / 저분자 콜라겐 츄 30구미 1팩 + 쇼핑백 증정",46900,안국건강,영양제,루테인,42552,20180328,"영양제선물,지아잔틴"
45,"안국건강 눈에 좋은 루테인 플러스 스페셜선물세트 180캡슐 1박스, 6개월분 / 저분자 콜라겐 츄 30구미 1팩 + 쇼핑백 증정",46900,안국건강,영양제,루테인,42535,20190808,"영양제선물,지아잔틴"
46,센트룸 성인용 종합비타민 포맨 우먼 실버 대용량,14900,센트룸,비타민제,멀티비타민,40937,20170517,"종합영양제,종합비타민영양제,부모님영양제,여성종합비타민,남성종합비타민"
47,[~10%쿠폰] 찬바람에도 끄떡없는 건강관리! 식품 모음전,33390,,영양제,,40378,20210217,
